capture,pass_index,retained_nodes,dirty_nodes,host_requests,taffy_miss,taffy_hit,taffy_root_ns,snapshot_ns,cow_ns
perfetto-fixed-r2-scroll,46,674,33,15,288,1419,11622208,2020000,3917
perfetto-fixed-r2-scroll,47,674,22,9,284,1456,9108834,4551333,333
perfetto-fixed-r2-scroll,48,674,22,0,209,1125,6635917,3967458,542
perfetto-fixed-r2-scroll,49,669,27,10,232,1320,11312292,4521625,4625
perfetto-fixed-r2-scroll,50,669,18,6,226,1348,13922417,4232750,1208
perfetto-fixed-r2-scroll,51,669,18,0,157,1013,7519208,2856166,333
perfetto-fixed-r2-scroll,52,669,10,0,49,59,613208,4036167,3000
perfetto-fixed-r2-scroll,53,676,33,15,288,1419,7834750,2880125,2417
perfetto-fixed-r2-scroll,54,676,22,9,284,1456,7349333,2093875,875
perfetto-fixed-r2-scroll,55,676,22,0,209,1125,6920583,1720542,375
perfetto-fixed-r2-scroll,56,676,10,0,49,59,752792,1666750,7709
perfetto-fixed-r2-scroll,57,669,26,10,230,1322,11993375,4037416,3500
perfetto-fixed-r2-scroll,58,669,18,6,226,1348,12898542,1832375,167
perfetto-fixed-r2-scroll,59,669,18,0,157,1013,9576084,2018292,1167
perfetto-fixed-r2-scroll,60,669,27,10,232,1320,13449208,1815083,2917
perfetto-fixed-r2-scroll,61,669,18,6,226,1348,9446458,3128375,959
perfetto-fixed-r2-scroll,62,669,18,0,157,1013,6121500,1755500,459
perfetto-fixed-r2-scroll,63,669,20,5,175,1244,13932917,4527583,3167
perfetto-fixed-r2-scroll,64,669,14,3,169,1261,11942416,4135208,458
perfetto-fixed-r2-scroll,65,669,14,0,105,915,8073500,4149750,500
perfetto-fixed-r2-scroll,66,669,12,0,116,1170,11109209,5116625,3459
perfetto-fixed-r2-scroll,67,669,26,10,230,1322,10971667,2477667,3958
perfetto-fixed-r2-scroll,68,669,18,6,226,1348,8993542,2452292,417
perfetto-fixed-r2-scroll,69,669,18,0,157,1013,7394834,2027542,208
perfetto-fixed-r2-scroll,70,669,10,0,49,59,4170500,4269917,3833
perfetto-fixed-r2-scroll,71,669,33,15,287,1398,11835084,2750917,3875
perfetto-fixed-r2-scroll,72,669,22,9,283,1435,8810041,4300709,417
perfetto-fixed-r2-scroll,73,669,22,0,209,1111,7291875,3111958,958
perfetto-fixed-r2-scroll,74,669,27,10,232,1320,8905625,2492417,2709
perfetto-fixed-r2-scroll,75,669,18,6,226,1348,9838333,2926291,250
perfetto-fixed-r2-scroll,76,669,18,0,157,1013,4284875,1965000,167
perfetto-fixed-r2-scroll,77,669,27,10,232,1320,10650167,1887458,2917
perfetto-fixed-r2-scroll,78,669,18,6,226,1348,7566709,3513458,750
perfetto-fixed-r2-scroll,79,669,18,0,157,1013,6588000,2201084,459
perfetto-fixed-r2-scroll,80,669,19,5,173,1246,8258083,1801000,2417
perfetto-fixed-r2-scroll,81,669,14,3,169,1261,8449166,2840958,1125
perfetto-fixed-r2-scroll,82,669,14,0,105,915,4672500,3167000,1167
perfetto-fixed-r2-scroll,83,676,26,10,231,1343,5838708,1829208,1917
perfetto-fixed-r2-scroll,84,676,18,6,227,1369,9321667,1848417,583
perfetto-fixed-r2-scroll,85,676,18,0,157,1027,6363125,3341333,166
perfetto-fixed-r2-scroll,86,669,26,10,230,1322,8496833,2567666,3416
perfetto-fixed-r2-scroll,87,669,18,6,226,1348,6299042,2210084,416
perfetto-fixed-r2-scroll,88,669,18,0,157,1013,6198250,1703625,291
perfetto-fixed-r2-scroll,89,669,26,10,230,1322,14177750,1976083,3208
perfetto-fixed-r2-scroll,90,669,18,6,226,1348,8426167,1892500,500
perfetto-fixed-r2-scroll,91,669,18,0,157,1013,6840542,1867208,542
perfetto-fixed-r2-scroll,92,669,33,15,287,1398,16415250,3410042,2584
perfetto-fixed-r2-scroll,93,669,22,9,283,1435,12772958,2134625,416
perfetto-fixed-r2-scroll,94,669,22,0,209,1111,6772541,2048083,1500
